"release_id","date_recaptured","release_site","site","number_recaptured","median_fork_length_recaptured","fws_run","hatchery_origin"
"CLR171",2003-12-04,"vulture bar","lower clear creek",3,34,NA,NA
"CLR171",2003-12-05,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR171",2003-12-06,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR171",2003-12-07,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR171",2003-12-08,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR172",2003-12-04,"clear creek road bridge","upper clear creek",6,33.5,NA,NA
"CLR172",2003-12-05,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR172",2003-12-06,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR172",2003-12-07,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR172",2003-12-08,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR173",2003-12-14,"vulture bar","lower clear creek",5,35,NA,NA
"CLR173",2003-12-15,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR173",2003-12-16,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR173",2003-12-17,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR173",2003-12-18,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR174",2003-12-14,"clear creek road bridge","upper clear creek",6,35,NA,NA
"CLR174",2003-12-15,"clear creek road bridge","upper clear creek",1,35,NA,NA
"CLR174",2003-12-16,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR174",2003-12-17,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR174",2003-12-18,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR175",2003-12-18,"vulture bar","lower clear creek",5,35,NA,NA
"CLR175",2003-12-19,"vulture bar","lower clear creek",2,35,NA,NA
"CLR175",2003-12-20,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR175",2003-12-21,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR175",2003-12-22,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR176",2003-12-18,"clear creek road bridge","upper clear creek",1,33,NA,NA
"CLR176",2003-12-19,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR176",2003-12-20,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR176",2003-12-21,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR176",2003-12-22,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR177",2003-12-20,"vulture bar","lower clear creek",7,35,NA,NA
"CLR177",2003-12-21,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR177",2003-12-22,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR177",2003-12-23,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR177",2003-12-24,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR178",2003-12-20,"clear creek road bridge","upper clear creek",30,35,NA,NA
"CLR178",2003-12-21,"clear creek road bridge","upper clear creek",1,35,NA,NA
"CLR178",2003-12-22,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR178",2003-12-23,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR178",2003-12-24,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR179",2004-01-14,"clear creek road bridge","upper clear creek",9,36,NA,NA
"CLR179",2004-01-15,"clear creek road bridge","upper clear creek",1,36,NA,NA
"CLR179",2004-01-16,"clear creek road bridge","upper clear creek",1,36,NA,NA
"CLR179",2004-01-17,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR179",2004-01-18,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR180",2004-01-14,"vulture bar","lower clear creek",10,36,NA,NA
"CLR180",2004-01-15,"vulture bar","lower clear creek",2,36,NA,NA
"CLR180",2004-01-16,"vulture bar","lower clear creek",1,36,NA,NA
"CLR180",2004-01-17,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR180",2004-01-18,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR181",2004-01-31,"vulture bar","lower clear creek",22,38,NA,NA
"CLR181",2004-02-01,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR181",2004-02-02,"vulture bar","lower clear creek",1,38,NA,NA
"CLR181",2004-02-03,"vulture bar","lower clear creek",2,38,NA,NA
"CLR181",2004-02-04,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR182",2004-01-31,"clear creek road bridge","upper clear creek",47,37.5,NA,NA
"CLR182",2004-02-01,"clear creek road bridge","upper clear creek",1,37.5,NA,NA
"CLR182",2004-02-02,"clear creek road bridge","upper clear creek",1,37.5,NA,NA
"CLR182",2004-02-03,"clear creek road bridge","upper clear creek",1,37.5,NA,NA
"CLR182",2004-02-04,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR183",2004-02-07,"vulture bar","lower clear creek",23,37,NA,NA
"CLR183",2004-02-08,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR183",2004-02-09,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR183",2004-02-10,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR183",2004-02-11,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR184",2004-02-07,"clear creek road bridge","upper clear creek",27,37,NA,NA
"CLR184",2004-02-08,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR184",2004-02-09,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR184",2004-02-10,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR184",2004-02-11,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR185",2004-02-11,"clear creek road bridge","upper clear creek",27,37,NA,NA
"CLR185",2004-02-12,"clear creek road bridge","upper clear creek",4,37,NA,NA
"CLR185",2004-02-13,"clear creek road bridge","upper clear creek",1,37,NA,NA
"CLR185",2004-02-14,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR185",2004-02-15,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR186",2004-02-11,"vulture bar","lower clear creek",14,37,NA,NA
"CLR186",2004-02-12,"vulture bar","lower clear creek",3,37,NA,NA
"CLR186",2004-02-13,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR186",2004-02-14,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR186",2004-02-15,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR187",2004-02-14,"vulture bar","lower clear creek",12,37.5,NA,NA
"CLR187",2004-02-15,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR187",2004-02-16,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR187",2004-02-17,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR187",2004-02-18,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR188",2004-02-14,"clear creek road bridge","upper clear creek",31,38,NA,NA
"CLR188",2004-02-15,"clear creek road bridge","upper clear creek",8,38,NA,NA
"CLR188",2004-02-16,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR188",2004-02-17,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR188",2004-02-18,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR189",2004-02-25,"vulture bar","lower clear creek",11,38,NA,NA
"CLR189",2004-02-26,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR189",2004-02-27,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR189",2004-02-28,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR189",2004-02-29,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR190",2004-02-25,"clear creek road bridge","upper clear creek",21,37,NA,NA
"CLR190",2004-02-26,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR190",2004-02-27,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR190",2004-02-28,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR190",2004-02-29,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR191",2004-03-03,"vulture bar","lower clear creek",10,37,NA,NA
"CLR191",2004-03-04,"vulture bar","lower clear creek",1,37,NA,NA
"CLR191",2004-03-05,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR191",2004-03-06,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR191",2004-03-07,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR192",2004-03-03,"clear creek road bridge","upper clear creek",29,38,NA,NA
"CLR192",2004-03-04,"clear creek road bridge","upper clear creek",11,38,NA,NA
"CLR192",2004-03-05,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR192",2004-03-06,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR192",2004-03-07,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR193",2004-03-06,"vulture bar","lower clear creek",12,38,NA,NA
"CLR193",2004-03-07,"vulture bar","lower clear creek",1,38,NA,NA
"CLR193",2004-03-08,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR193",2004-03-09,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR193",2004-03-10,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR194",2004-03-06,"clear creek road bridge","upper clear creek",45,38,NA,NA
"CLR194",2004-03-07,"clear creek road bridge","upper clear creek",4,38,NA,NA
"CLR194",2004-03-08,"clear creek road bridge","upper clear creek",1,38,NA,NA
"CLR194",2004-03-09,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR194",2004-03-10,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR195",2004-03-06,"clear creek road bridge","upper clear creek",5,44.5,NA,NA
"CLR195",2004-03-07,"clear creek road bridge","upper clear creek",1,44.5,NA,NA
"CLR195",2004-03-08,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR195",2004-03-09,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR195",2004-03-10,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR196",2004-03-10,"vulture bar","lower clear creek",4,39.5,NA,NA
"CLR196",2004-03-11,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR196",2004-03-12,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR196",2004-03-13,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR196",2004-03-14,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR197",2004-03-10,"clear creek road bridge","upper clear creek",31,38,NA,NA
"CLR197",2004-03-11,"clear creek road bridge","upper clear creek",2,38,NA,NA
"CLR197",2004-03-12,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR197",2004-03-13,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR197",2004-03-14,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR198",2004-03-13,"vulture bar","lower clear creek",11,38,NA,NA
"CLR198",2004-03-14,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR198",2004-03-15,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR198",2004-03-16,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR198",2004-03-17,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR199",2004-03-13,"clear creek road bridge","upper clear creek",45,37,NA,NA
"CLR199",2004-03-14,"clear creek road bridge","upper clear creek",11,37,NA,NA
"CLR199",2004-03-15,"clear creek road bridge","upper clear creek",1,37,NA,NA
"CLR199",2004-03-16,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR199",2004-03-17,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR200",2004-03-13,"clear creek road bridge","upper clear creek",3,49,NA,NA
"CLR200",2004-03-14,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR200",2004-03-15,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR200",2004-03-16,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR200",2004-03-17,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR201",2004-03-17,"vulture bar","lower clear creek",10,38,NA,NA
"CLR201",2004-03-18,"vulture bar","lower clear creek",1,38,NA,NA
"CLR201",2004-03-19,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR201",2004-03-20,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR201",2004-03-21,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR202",2004-03-17,"clear creek road bridge","upper clear creek",40,37,NA,NA
"CLR202",2004-03-18,"clear creek road bridge","upper clear creek",3,37,NA,NA
"CLR202",2004-03-19,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR202",2004-03-20,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR202",2004-03-21,"clear creek road bridge","upper clear creek",1,37,NA,NA
"CLR203",2004-03-17,"clear creek road bridge","upper clear creek",1,63,NA,NA
"CLR203",2004-03-18,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR203",2004-03-19,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR203",2004-03-20,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR203",2004-03-21,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR204",2004-03-27,"vulture bar","lower clear creek",6,37,NA,NA
"CLR204",2004-03-28,"vulture bar","lower clear creek",1,37,NA,NA
"CLR204",2004-03-29,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR204",2004-03-30,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR204",2004-03-31,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR205",2004-03-27,"clear creek road bridge","upper clear creek",8,38,NA,NA
"CLR205",2004-03-28,"clear creek road bridge","upper clear creek",10,38,NA,NA
"CLR205",2004-03-29,"clear creek road bridge","upper clear creek",2,38,NA,NA
"CLR205",2004-03-30,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR205",2004-03-31,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR206",2004-03-27,"clear creek road bridge","upper clear creek",3,70,NA,NA
"CLR206",2004-03-28,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR206",2004-03-29,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR206",2004-03-30,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR206",2004-03-31,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR207",2004-04-03,"clear creek road bridge","upper clear creek",45,39,NA,NA
"CLR207",2004-04-04,"clear creek road bridge","upper clear creek",1,39,NA,NA
"CLR207",2004-04-05,"clear creek road bridge","upper clear creek",3,39,NA,NA
"CLR207",2004-04-06,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR207",2004-04-07,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR208",2004-04-03,"clear creek road bridge","upper clear creek",11,52,NA,NA
"CLR208",2004-04-04,"clear creek road bridge","upper clear creek",1,52,NA,NA
"CLR208",2004-04-05,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR208",2004-04-06,"clear creek road bridge","upper clear creek",1,52,NA,NA
"CLR208",2004-04-07,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR209",2004-04-10,"clear creek road bridge","upper clear creek",6,37,NA,NA
"CLR209",2004-04-11,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR209",2004-04-12,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR209",2004-04-13,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR209",2004-04-14,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR210",2004-04-10,"clear creek road bridge","upper clear creek",4,54,NA,NA
"CLR210",2004-04-11,"clear creek road bridge","upper clear creek",1,54,NA,NA
"CLR210",2004-04-12,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR210",2004-04-13,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR210",2004-04-14,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR211",2004-04-17,"clear creek road bridge","upper clear creek",13,37,NA,NA
"CLR211",2004-04-18,"clear creek road bridge","upper clear creek",5,37,NA,NA
"CLR211",2004-04-19,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR211",2004-04-20,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR211",2004-04-21,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR212",2004-04-17,"clear creek road bridge","upper clear creek",8,64.5,NA,NA
"CLR212",2004-04-18,"clear creek road bridge","upper clear creek",6,64.5,NA,NA
"CLR212",2004-04-19,"clear creek road bridge","upper clear creek",3,64.5,NA,NA
"CLR212",2004-04-20,"clear creek road bridge","upper clear creek",1,64.5,NA,NA
"CLR212",2004-04-21,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR213",2005-01-05,"vulture bar","lower clear creek",7,36.5,NA,NA
"CLR213",2005-01-06,"vulture bar","lower clear creek",1,36.5,NA,NA
"CLR213",2005-01-07,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR213",2005-01-08,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR213",2005-01-09,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR214",2005-01-05,"clear creek road bridge","upper clear creek",10,35.5,NA,NA
"CLR214",2005-01-06,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR214",2005-01-07,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR214",2005-01-08,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR214",2005-01-09,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR215",2005-01-08,"vulture bar","lower clear creek",4,34.5,NA,NA
"CLR215",2005-01-09,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR215",2005-01-10,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR215",2005-01-11,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR215",2005-01-12,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR216",2005-01-08,"clear creek road bridge","upper clear creek",3,35,NA,NA
"CLR216",2005-01-09,"clear creek road bridge","upper clear creek",2,35,NA,NA
"CLR216",2005-01-10,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR216",2005-01-11,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR216",2005-01-12,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR217",2005-01-12,"vulture bar","lower clear creek",18,37,NA,NA
"CLR217",2005-01-13,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR217",2005-01-14,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR217",2005-01-15,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR217",2005-01-16,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR218",2005-01-12,"clear creek road bridge","upper clear creek",13,37,NA,NA
"CLR218",2005-01-13,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR218",2005-01-14,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR218",2005-01-15,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR218",2005-01-16,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR219",2005-01-14,"vulture bar","lower clear creek",11,37,NA,NA
"CLR219",2005-01-15,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR219",2005-01-16,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR219",2005-01-17,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR219",2005-01-18,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR220",2005-01-15,"clear creek road bridge","upper clear creek",13,36,NA,NA
"CLR220",2005-01-16,"clear creek road bridge","upper clear creek",2,36,NA,NA
"CLR220",2005-01-17,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR220",2005-01-18,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR220",2005-01-19,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR221",2005-01-18,"vulture bar","lower clear creek",1,43,NA,NA
"CLR221",2005-01-19,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR221",2005-01-20,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR221",2005-01-21,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR221",2005-01-22,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR222",2005-01-18,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR222",2005-01-19,"clear creek road bridge","upper clear creek",2,36,NA,NA
"CLR222",2005-01-20,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR222",2005-01-21,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR222",2005-01-22,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR223",2005-01-22,"vulture bar","lower clear creek",6,36.5,NA,NA
"CLR223",2005-01-23,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR223",2005-01-24,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR223",2005-01-25,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR223",2005-01-26,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR224",2005-01-22,"clear creek road bridge","upper clear creek",23,37,NA,NA
"CLR224",2005-01-23,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR224",2005-01-24,"clear creek road bridge","upper clear creek",2,37,NA,NA
"CLR224",2005-01-25,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR224",2005-01-26,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR225",2005-01-26,"vulture bar","lower clear creek",6,37,NA,NA
"CLR225",2005-01-27,"vulture bar","lower clear creek",5,37,NA,NA
"CLR225",2005-01-28,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR225",2005-01-29,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR225",2005-01-30,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR226",2005-01-26,"clear creek road bridge","upper clear creek",7,38,NA,NA
"CLR226",2005-01-27,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR226",2005-01-28,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR226",2005-01-29,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR226",2005-01-30,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR227",2005-01-29,"vulture bar","lower clear creek",NA,NA,NA,NA
"CLR227",2005-01-30,"vulture bar","lower clear creek",NA,NA,NA,NA
"CLR227",2005-01-31,"vulture bar","lower clear creek",NA,NA,NA,NA
"CLR227",2005-02-01,"vulture bar","lower clear creek",NA,NA,NA,NA
"CLR227",2005-02-02,"vulture bar","lower clear creek",NA,NA,NA,NA
"CLR228",2005-01-29,"clear creek road bridge","upper clear creek",14,36,NA,NA
"CLR228",2005-01-30,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR228",2005-01-31,"clear creek road bridge","upper clear creek",1,36,NA,NA
"CLR228",2005-02-01,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR228",2005-02-02,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR229",2005-02-02,"vulture bar","lower clear creek",7,38,NA,NA
"CLR229",2005-02-03,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR229",2005-02-04,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR229",2005-02-05,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR229",2005-02-06,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR230",2005-02-02,"clear creek road bridge","upper clear creek",20,36,NA,NA
"CLR230",2005-02-03,"clear creek road bridge","upper clear creek",3,36,NA,NA
"CLR230",2005-02-04,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR230",2005-02-05,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR230",2005-02-06,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR231",2005-02-05,"vulture bar","lower clear creek",23,37,NA,NA
"CLR231",2005-02-06,"vulture bar","lower clear creek",2,37,NA,NA
"CLR231",2005-02-07,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR231",2005-02-08,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR231",2005-02-09,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR232",2005-02-05,"clear creek road bridge","upper clear creek",14,37,NA,NA
"CLR232",2005-02-06,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR232",2005-02-07,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR232",2005-02-08,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR232",2005-02-09,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR233",2005-02-09,"vulture bar","lower clear creek",16,38,NA,NA
"CLR233",2005-02-10,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR233",2005-02-11,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR233",2005-02-12,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR233",2005-02-13,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR234",2005-02-09,"clear creek road bridge","upper clear creek",9,37,NA,NA
"CLR234",2005-02-10,"clear creek road bridge","upper clear creek",1,37,NA,NA
"CLR234",2005-02-11,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR234",2005-02-12,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR234",2005-02-13,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR235",2005-02-12,"vulture bar","lower clear creek",15,37,NA,NA
"CLR235",2005-02-13,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR235",2005-02-14,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR235",2005-02-15,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR235",2005-02-16,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR236",2005-02-12,"clear creek road bridge","upper clear creek",31,37,NA,NA
"CLR236",2005-02-13,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR236",2005-02-14,"clear creek road bridge","upper clear creek",2,37,NA,NA
"CLR236",2005-02-15,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR236",2005-02-16,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR237",2005-02-16,"vulture bar","lower clear creek",5,38,NA,NA
"CLR237",2005-02-17,"vulture bar","lower clear creek",4,38,NA,NA
"CLR237",2005-02-18,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR237",2005-02-19,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR237",2005-02-20,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR238",2005-02-16,"clear creek road bridge","upper clear creek",47,36,NA,NA
"CLR238",2005-02-17,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR238",2005-02-18,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR238",2005-02-19,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR238",2005-02-20,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR239",2005-02-19,"vulture bar","lower clear creek",8,37,NA,NA
"CLR239",2005-02-20,"vulture bar","lower clear creek",9,37,NA,NA
"CLR239",2005-02-21,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR239",2005-02-22,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR239",2005-02-23,"vulture bar","lower clear creek",0,NA,NA,NA
"CLR240",2005-02-19,"clear creek road bridge","upper clear creek",41,37,NA,NA
"CLR240",2005-02-20,"clear creek road bridge","upper clear creek",2,37,NA,NA
"CLR240",2005-02-21,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR240",2005-02-22,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR240",2005-02-23,"clear creek road bridge","upper clear creek",0,NA,NA,NA
"CLR241",2005-02-23,"vulture bar","lower clear creek",1,35,NA,NA
"CLR241",2005-02-24,"vulture bar","lower clear creek",2,35,NA,NA
"CLR241",2005-02-25,"vulture bar","lower clear creek",1,35,NA,NA
