site,release_site,date_released,time_released,number_released,median_fork_length_released,release_id,days_held_post_mark,day_or_night_release,release_temp,release_flow,release_turbidity
Clear Creek,VB,2003-12-03,16:12:00,14,34,CLR171,0,night,51.3,227,NA
Clear Creek,CCRB,2003-12-03,16:12:00,20,33.5,CLR172,0,night,49.59,227,NA
Clear Creek,VB,2003-12-13,15:13:00,259,35,CLR173,0,night,49.1,333,NA
Clear Creek,CCRB,2003-12-13,15:13:00,259,35,CLR174,0,day,48.76,333,NA
Clear Creek,VB,2003-12-17,15:46:00,105,35,CLR175,0,night,48.2,252,NA
Clear Creek,CCRB,2003-12-17,15:46:00,60,33,CLR176,0,night,47.37,252,NA
Clear Creek,VB,2003-12-19,14:38:00,241,35,CLR177,0,day,47.1,238,NA
Clear Creek,CCRB,2003-12-19,14:56:00,409,35,CLR178,0,day,46.544,241,NA
Clear Creek,CCRB,2004-01-13,10:04:00,248,36,CLR179,1,day,44.33,323,NA
Clear Creek,VB,2004-01-13,12:37:00,247,36,CLR180,1,night,46,323,NA
Clear Creek,VB,2004-01-30,18:41:00,398,38,CLR181,1,NA,46.3,267,NA
Clear Creek,CCRB,2004-01-30,19:03:00,400,37.5,CLR182,1,night,45.99,267,NA
Clear Creek,VB,2004-02-06,18:33:00,395,37,CLR183,1,night,46.3,323,NA
Clear Creek,CCRB,2004-02-06,18:53:00,400,37,CLR184,1,night,45.99,323,NA
Clear Creek,CCRB,2004-02-10,17:20:00,397,37,CLR185,1,night,45.99,270,NA
Clear Creek,VB,2004-02-10,17:46:00,398,37,CLR186,1,night,47.1,270,NA
Clear Creek,VB,2004-02-13,15:13:00,447,37.5,CLR187,1,night,45.4,258,NA
Clear Creek,CCRB,2004-02-13,19:20:00,367,38,CLR188,1,night,45.45,264,NA
Clear Creek,VB,2004-02-24,14:03:00,398,38,CLR189,1,day,50.5,401,NA
Clear Creek,CCRB,2004-02-24,14:27:00,406,37,CLR190,1,day,48.49,401,NA
Clear Creek,VB,2004-03-02,17:30:00,402,37,CLR191,1,night,50.7,614,NA
Clear Creek,CCRB,2004-03-02,17:46:00,405,38,CLR192,1,night,49.87,614,NA
Clear Creek,VB,2004-03-05,17:32:00,397,38,CLR193,1,night,49.9,397,NA
Clear Creek,CCRB,2004-03-05,17:48:00,389,38,CLR194,1,night,49.59,397,NA
Clear Creek,CCRB,2004-03-05,17:48:00,54,44.5,CLR195,1,night,49.59,397,NA
Clear Creek,VB,2004-03-09,13:35:00,296,39.5,CLR196,1,day,53.8,323,NA
Clear Creek,CCRB,2004-03-09,13:55:00,298,38,CLR197,1,day,50.72,304,NA
Clear Creek,VB,2004-03-12,15:09:00,397,38,CLR198,1,day,54.6,290,NA
Clear Creek,CCRB,2004-03-12,15:23:00,368,37,CLR199,1,day,51.28,290,NA
Clear Creek,CCRB,2004-03-12,15:23:00,24,49,CLR200,1,day,51.28,290,NA
Clear Creek,VB,2004-03-16,14:45:00,385,38,CLR201,1,day,55.2,270,NA
Clear Creek,CCRB,2004-03-16,15:10:00,384,37,CLR202,1,day,51.57,270,NA
Clear Creek,CCRB,2004-03-16,15:10:00,8,63,CLR203,1,day,51.57,270,NA
Clear Creek,VB,2004-03-26,14:20:00,368,37,CLR204,1,day,50.7,267,NA
Clear Creek,CCRB,2004-03-26,14:35:00,358,38,CLR205,1,day,48.49,267,NA
Clear Creek,CCRB,2004-03-26,14:35:00,30,70,CLR206,1,day,48.49,267,NA
Clear Creek,CCRB,2004-04-02,11:55:00,402,39,CLR207,1,day,49.32,250,NA
Clear Creek,CCRB,2004-04-02,11:55:00,27,52,CLR208,1,day,49.32,253,NA
